Twitter Username,Stripped Name,Handle
Energy Commerce Dems,Energy Commerce Dems,EnergyCommerce
Appropriations-Dems ,Appropriations-Dems,AppropsDems
Brad Sherman,Brad Sherman,BradSherman
Adam Schiff,Adam Schiff,RepAdamSchiff
John Lewis,John Lewis,repjohnlewis
Bernie Sanders,Bernie Sanders,SenSanders
Senator Jeff Merkley,Jeff Merkley,SenJeffMerkley
Raul M. Grijalva,Raul Grijalva,RepRaulGrijalva
Rep. Diana DeGette,Diana DeGette,RepDianaDeGette
Patrick McHenry,Patrick McHenry,PatrickMcHenry
Rep. Walter Jones,Walter Jones,RepWalterJones
Michael McCaul,Michael McCaul,RepMcCaul
Gus Bilirakis,Gus Bilirakis,RepGusBilirakis
Sandy Levin,Sandy Levin,repsandylevin
Bill Posey,Bill Posey,congbillposey
Jackie Speier,Jackie Speier,RepSpeier
Rep. Trent Franks,Trent Franks,RepTrentFranks
Rep. Hank Johnson,Hank Johnson,RepHankJohnson
Pete Sessions,Pete Sessions,PeteSessions
Jan Schakowsky,Jan Schakowsky,janschakowsky
Kenny Marchant,Kenny Marchant,RepKenMarchant
Tom Rooney,Tom Rooney,TomRooney
Aaron Schock,Aaron Schock,aaronschock
Gregg Harper,Gregg Harper,GreggHarper
Eleanor H. Norton,Eleanor Norton,EleanorNorton
David N. Cicilline,David Cicilline,davidcicilline
Rep. Tom Cole,Tom Cole,TomColeOK04
Rep. Cynthia Lummis,Cynthia Lummis,CynthiaLummis
 Gregory Meeks,Gregory Meeks,GregoryMeeks
Gwen Moore,Gwen Moore,RepGwenMoore
Ken Calvert,Ken Calvert,KenCalvert
Bill Shuster,Bill Shuster,RepBillShuster
Jim Cooper,Jim Cooper,repjimcooper
Darrell Issa,Darrell Issa,DarrellIssa
Louie Gohmert,Louie Gohmert,replouiegohmert
Science Committee,Science Committee,SciCmteDems
Steny Hoyer,Steny Hoyer,WhipHoyer
Ed Markey,Ed Markey,SenMarkey
Charles Rangel,Charles Rangel,cbrangel
Senator Roy Blunt,Roy Blunt,RoyBlunt
Richard Burr,Richard Burr,SenatorBurr
Richard Shelby,Richard Shelby,SenShelby
Bill Nelson,Bill Nelson,SenBillNelson
Rep Ed Perlmutter,Ed Perlmutter,RepPerlmutter
Inhofe Press Office,Inhofe Press Office,InhofePress
Rep. Kurt Schrader,Kurt Schrader,RepSchrader
Rep. Vern Buchanan,Vern Buchanan,VernBuchanan
Ander Crenshaw,Ander Crenshaw,AnderCrenshaw
HASC Republicans,HASC Republicans,HASCRepublicans
Debbie Stabenow,Debbie Stabenow,stabenow
Senator David Vitter,David Vitter,senatorvitter
Rep. Pete Olson,Pete Olson,RepPeteOlson
Peter Roskam,Peter Roskam,PeterRoskam
Steve Israel,Steve Israel,RepSteveIsrael
Joe Barton,Joe Barton,RepJoeBarton
RepKevinBrady,KevinBrady,RepKevinBrady
Kevin McCarthy,Kevin McCarthy,GOPLeader
Sen. Susan Collins,Susan Collins,SenatorCollins
Lynn Jenkins,Lynn Jenkins,RepLynnJenkins
Rep. Mike Coffman,Mike Coffman,RepMikeCoffman
John McCain,John McCain,SenJohnMcCain
Ben Ray Lujan,Ben Ray Lujan,repbenraylujan
Dana Rohrabacher,Dana Rohrabacher,DanaRohrabacher
Glenn 'GT' Thompson,Glenn 'GT' Thompson,CongressmanGT
Paul Ryan,Paul Ryan,SpeakerRyan
Rob Portman,Rob Portman,senrobportman
Jim Langevin,Jim Langevin,jimlangevin
Jeff Fortenberry,Jeff Fortenberry,JeffFortenberry
